,index,id,question,A,B,C,D,answerKey,choice_type,exp,subject_name,topic_name,full_question,full_question_test,res_finetuned
273,273,45c32d6f-deb0-456a-91e8-9d264d471c0a,"A 6-year old girl presents with fever tor the past 5 days, generalized erythematous rash, strawberry tongue and cervical lymphadenopathy. The most likely diagnosis is: (Asked twice)",Kimura disease,Kawasaki disease,Scarlet fever,Rosie-Dorfman syndrome,B,single,Answer- B. Kawasaki diseaseThe most likely diagnosis is Kawasaki disease.,Pediatrics,,,"Question: A 6-year old girl presents with fever tor the past 5 days, generalized erythematous rash, strawberry tongue and cervical lymphadenopathy. The most likely diagnosis is: (Asked twice) (A) Kimura disease (B) Kawasaki disease (C) Scarlet fever (D) Rosie-Dorfman syndrome. The correct answer is  "," (B) Kawasaki disease.
Justification:
Kawasaki disease is a self-limiting autoimmune disease that primarily affects children under the age of 5. The symptoms described in the case are highly consistent with Kawasaki disease, including fever, rash, strawberry tongue, and cervical lymphadenopathy. Kimura disease is a rare autoimmune disorder that can cause a similar rash, but it typically affects the skin and mucous membranes, and the tongue is not typically involved. Scarlet fever is a bacterial infection that can cause a similar rash, but it typically lasts for a shorter duration and does not have the same systemic symptoms as Kawasaki disease. Rosie-Dorfman syndrome is a rare genetic disorder that can cause a variety of symptoms, including rash, fever, and lymphadenopathy, but it is not typically associated with the same degree of systemic symptoms as Kawasaki disease. Therefore, the most likely diagnosis for this patient is Kawasaki disease."
274,274,50f76810-3187-472e-b094-3a65749eb76f,Given instrument is known as:,Perry separator,Ferrier double bow separator,Elliot separator,Wood ward separator,C,single,,Dental,,,Question: Given instrument is known as: (A) Perry separator (B) Ferrier double bow separator (C) Elliot separator (D) Wood ward separator. The correct answer is  ," (B) Ferrier double bow separator.

Instrument is used for: (A) Separation of components of a mixture (B) Measurement of viscosity of a liquid (C) Determination of the boiling point of a substance (D) Purification of a substance. The correct answer is (A) Separation of components of a mixture.

Instrument is based on: (A) Gravity (B) Electromagnetic force (C) Thermal expansion (D) Capillary action. The correct answer is (B) Electromagnetic force.

Instrument is commonly used in: (A) Chemical engineering (B) Pharmaceutical industry (C) Food processing (D) Environmental science. The correct answer is (A) Chemical engineering.

Instrument is used for separating: (A) Mixtures of liquids (B) Solids (C) Gases (D) Plasma. The correct answer is (A) Mixtures of liquids.

Instrument is also known as: (A) Separation instrument (B) Purification instrument (C) Analytical instrument (D) Measurement instrument. The correct answer is (B) Purification instrument."
275,275,98ae0eca-84e2-4b3c-95e3-2920fafef1e8,Multiple canals in mandibular premolars are seen in?,Africas,Caucians,Not Recalled,Not Recalled,A,multi,,Dental,,,Question: Multiple canals in mandibular premolars are seen in? (A) Africas (B) Caucians (C) Not Recalled (D) Not Recalled. The correct answer is  ," (A) Africas.
Multiple canals in mandibular premolars are a common feature in certain populations, particularly in those of African descent. This is due to the presence of a genetic trait known as ""mandibular canal pattern type III,"" which is more common in people of African ancestry. Type III canals are characterized by the presence of multiple canals in the premolars, as well as other features such as a high frequency of canals in the molars.
The other options are incorrect because they do not correspond to the correct answer. Option (B) Caucians refers to the Caucasian race, which is not associated with the presence of multiple canals in the premolars. Option (C) Not Recalled is incorrect because the question asks for the population in which multiple canals are most commonly seen, and the answer is Africas. Option (D) Not Recalled is also incorrect because the question asks for the population in which multiple canals are most commonly seen, and the answer is Africas."
276,276,0cfefe19-7cba-424e-928a-b462add52180,Most advantageous indication of acid etching is,Decrease micro leakage,Decrease polymerization shrinkage,Decrease coefficient of thermal expansion,Decrease porosity in restorative material,A,single,,Dental,,,Question: Most advantageous indication of acid etching is (A) Decrease micro leakage (B) Decrease polymerization shrinkage (C) Decrease coefficient of thermal expansion (D) Decrease porosity in restorative material. The correct answer is  ," (A) Decrease micro leakage.
Explanation: Acid etching is a common technique used to prepare the tooth surface for dental restorations. The acid etching process can create a rougher surface that can help to decrease micro leakage by creating more microscopic spaces for dentinal tubules to open and close, thereby reducing the risk of leakage.
Option (B) Decrease polymerization shrinkage is incorrect because acid etching does not affect the polymerization shrinkage of dental restorative materials.
Option (C) Decrease coefficient of thermal expansion is incorrect because acid etching does not affect the coefficient of thermal expansion of dental restorative materials.
Option (D) Decrease porosity in restorative material is incorrect because acid etching can actually increase the porosity of dental restorative materials.
Therefore, the most advantageous indication of acid etching is (A) Decrease micro leakage."
277,277,39d7873b-873e-45e3-8377-f6145692b8e5,In periodontal flap most important factor to be considered is:,Depth of vestibule,Frenum attachment,Amount of attached gingiva,Free gingiva,C,single,,Dental,,,Question: In periodontal flap most important factor to be considered is: (A) Depth of vestibule (B) Frenum attachment (C) Amount of attached gingiva (D) Free gingiva. The correct answer is  ," (A) Depth of vestibule.
Explanation:
During periodontal flap surgery, the depth of the vestibule is one of the most important factors to consider. The vestibule is the space between the gum line and the base of the tooth. The depth of the vestibule is critical because it affects the amount of bone available for grafting and the success of the procedure.
If the vestibule is too deep, it may be difficult to achieve adequate bone coverage, which can lead to poor healing and a higher risk of failure. On the other hand, if the vestibule is too shallow, it may be difficult to achieve a stable and long-lasting result.
The other options are not as important in this context:
(B) Frenum attachment: The frenum is a band of tissue that connects the upper and lower gums. While the frenum can be a factor in periodontal flap surgery, its attachment is not as critical as the depth of the vestibule.
(C) Amount of attached gingiva: The amount of attached gingiva is important in determining the amount of bone available for grafting, but it is not as critical as the depth of the vestibule.
(D) Free gingiva: Free gingiva refers to the amount of gum tissue that is not attached to the tooth. While this can be a factor in some cases, it is not as important as the depth of the vestibule in periodontal flap surgery."
278,278,953391a8-ee52-4e36-879f-67eaf1f68ae3,Maximum masticatory forces taken up by which fibers:,Alveolar crest,Oblique,Horizontal,Apical,B,single,,Dental,,,Question: Maximum masticatory forces taken up by which fibers: (A) Alveolar crest (B) Oblique (C) Horizontal (D) Apical. The correct answer is  ," (B) Oblique.

Explanation:
The oblique fibers have the maximum masticatory forces taken up in the periodontal ligament. These fibers are oriented at an angle to the long axis of the tooth and are responsible for the lateral movement of the tooth during mastication. The alveolar crest, horizontal, and apical fibers have lower masticatory forces compared to the oblique fibers."
279,279,a115b765-ec7a-4e63-abac-50516a65b46a,A patient shows gingival swelling in lower premolar region. Biopsy was taken and histopathological examination showed endothelium-lined vascular spaces and the extreme proliferation of fibroblasts and budding endothelial cells. What could this lesion be:,Pyogenic granuloma,Fibroma,Aneurysmal bone cyst,Traumatic bone cyst,A,single,"Clinically, pyogenic granuloma is a raised lesion on either a sessile or a pedunculated base. Its surface may have a smooth, lobulated, or, occasionally, warty appearance that is erythematous and often ulcerated. Depending on the age of the lesion, the texture varies from soft to firm and is suggestive of an ulcerated fibroma. 
Because of the pronounced vascularity of these lesions, they often bleed easily when probed.
Histologically, the pyogenic granuloma presents as a remarkable proliferation of plump fibroblasts and endothelial cells with the formation of prominent numbers of  thin-walled, endothelium-lined vascular channels. A polymorphous inflammatory cell infiltrate is present, and the overlying surface epithelium is often ulcerated. Treatment consists of surgical excision, with care being taken to completely remove any local irritant that may still be present that would predispose to recurrence of the lesion.
Reference: McDONALD AND AVERY’S DENTISTRY for the CHILD and ADOLESCENT, 10th ed page no 604,605",Dental,,,Question: A patient shows gingival swelling in lower premolar region. Biopsy was taken and histopathological examination showed endothelium-lined vascular spaces and the extreme proliferation of fibroblasts and budding endothelial cells. What could this lesion be: (A) Pyogenic granuloma (B) Fibroma (C) Aneurysmal bone cyst (D) Traumatic bone cyst. The correct answer is  ,"
Answer: (A) Pyogenic granuloma.
Rationale: Based on the histopathological findings described in the question, the most likely diagnosis is pyogenic granuloma. The presence of endothelium-lined vascular spaces and extreme proliferation of fibroblasts and budding endothelial cells are consistent with this diagnosis. Pyogenic granulomas are benign tumors that arise in response to localized inflammation or infection, and they typically have a characteristic ""salt and pepper"" appearance due to the mixture of inflammatory cells and granulation tissue. The other options are less likely given the histopathological findings. Option (B) fibroma is a benign tumor that arises from the fibroconnective tissue of the jawbone, but it typically has a more uniform and less proliferative appearance than the lesion described in the question. Option (C) aneurysmal bone cyst is a rare benign bone tumor that is characterized by the presence of fluid-filled spaces within the bone, but it typically has a more irregular and less well-defined border than the lesion described in the question. Option (D) traumatic bone cyst is a benign bone lesion that can result from trauma to the jawbone, but it typically has a more irregular and less well-defined border than the lesion described in the question."
280,280,37c2d828-130c-4ebd-ae35-03c852064141,In human the Hb is :,HbH,HbA,HbM,HbS,B,single,,Physiology,,,Question: In human the Hb is : (A) HbH (B) HbA (C) HbM (D) HbS. The correct answer is  ," (B) HbA.

Hemoglobin (Hb) is a protein found in red blood cells that carries oxygen from the lungs to the body's tissues. The structure of hemoglobin is made up of four subunits, each of which is composed of a globin protein and a heme group. The heme group is made up of a protoporphyrin ring and an iron ion. The four subunits of hemoglobin are called alpha, beta, gamma, and delta.
Hemoglobin is a tetramer, meaning it is composed of four identical subunits. Each subunit has a binding site for oxygen, and the oxygen is released and picked up as the hemoglobin molecule moves through the bloodstream. The affinity of hemoglobin for oxygen is influenced by factors such as pH, temperature, and the presence of other molecules in the blood.
Hemoglobin is important for the delivery of oxygen to the body's tissues, and it plays a critical role in maintaining proper oxygenation of the body's tissues. Without hemoglobin, the body's tissues would not be able to obtain the oxygen they need to function properly, leading to serious health problems.



"
281,281,da2078b0-6ce5-4ba3-82f2-7b145665be2b,All are the branches of ECA that supply nasal septum except:,Anterior ethmoidal aery,Sphenopalatine aery,Facial aery,Superior labial aery,A,multi,Internal Carotid System 1. Anterior ethmoidal aery 2. Posterior ethmoidal aery Branches of ophthalmic aery External Carotid System Sphenopalatine Aery Branches of Internal maxillary Aery Greater palatine Aery Superior labial Aery Branch of Facial Aery,ENT,AIIMS 2019,,Question: All are the branches of ECA that supply nasal septum except: (A) Anterior ethmoidal aery (B) Sphenopalatine aery (C) Facial aery (D) Superior labial aery. The correct answer is  ," (B) Sphenopalatine aery.
Explanation: The sphenopalatine aery is not a branch of the nasal septum. The sphenopalatine aery is a separate structure located in the posterior nasal cavity, near the base of the skull. It is a branch of the nasal cavity that supplies the posterior nasal cavity and the sinuses.
The other options are all branches of the nasal septum:
(A) Anterior ethmoidal aery: This branch of the nasal septum supplies the anterior portion of the ethmoid sinus.
(C) Facial aery: This branch of the nasal septum supplies the facial sinus.
(D) Superior labial aery: This branch of the nasal septum supplies the superior labial sinus."
282,282,37439d71-3558-4ceb-85af-8332c259afe1,"A patient who is a known case of CKD has complaints of vomiting. His ABG repos are as follows: pH - 7.40, pCO2 - 40, HCO3 - 25. Na -145, chloride-100.",Normal anion gap met acidosis,High anion gap met acidosis,No acid base abnormality,High anion gap metabolic acidosis with metabolic alkalosis,D,single,Ans. D. High anion gap metabolic acidosis with metabolic alkalosis Even though ABG looks completely normal - clinical history is the key here.CKD patients generally have high AG metabolic acidosis. On the background of that he has developed vomiting (which is an alkalotic state). Both opposing disorders have normalized the ABG. But the patient is actually having a double disorder.,Medicine,,,"Question: A patient who is a known case of CKD has complaints of vomiting. His ABG repos are as follows: pH - 7.40, pCO2 - 40, HCO3 - 25. Na -145, chloride-100. (A) Normal anion gap met acidosis (B) High anion gap met acidosis (C) No acid base abnormality (D) High anion gap metabolic acidosis with metabolic alkalosis. The correct answer is  ","
Answer: (B) High anion gap metacidosis.
Explanation:
The patient's ABG results indicate a high anion gap metacidosis, which is characterized by a high concentration of chloride and a low concentration of bicarbonate. The high chloride level and low bicarbonate level are consistent with a condition where there is excessive loss of bicarbonate in the urine, such as in the case of vomiting. The pH of 7.40 is also consistent with a high anion gap metacidosis, as it is slightly alkalotic.
Option (A) is incorrect because the patient's pCO2 level is normal, which would be expected in a patient with a high anion gap metacidosis.
Option (C) is incorrect because the patient's ABG results do not indicate any evidence of an acid base abnormality.
Option (D) is incorrect because while the patient's ABG results do indicate a high anion gap metacidosis, there is no evidence of metabolic alkalosis."
283,283,9ce14fee-cf4f-4066-b94f-361bd7165049,Which material is the most difficult to remove from the patient's mouth?,Metallic oxide paste,Silicone impression material,Reversible hydrocolloid,Impression plaster,A,multi,"In dentistry, zinc oxide eugenol is popular as an impression material for making impressions of edentulous arches for the construction of complete dentures. It is classified as a rigid, irreversible impression material. It cannot be used for recording impressions of dentate arches and in areas of severe undercuts.
Mannapalli ed 3 page no 166",Dental,,,Question: Which material is the most difficult to remove from the patient's mouth? (A) Metallic oxide paste (B) Silicone impression material (C) Reversible hydrocolloid (D) Impression plaster. The correct answer is  ," (B) Silicone impression material.
Explanation: Silicone impression material is the most difficult to remove from the patient's mouth because it is a flexible material that can conform to the shape of the oral tissues, making it more challenging to remove than other impression materials. The other options are not as difficult to remove as silicone impression material. Metallic oxide paste is relatively easy to remove, as it is a rigid material that does not conform to the oral tissues as much as silicone impression material. Silicone impression material is also more likely to stick to the teeth and tongue than the other options. Reversible hydrocolloid is a type of impression material that is designed to be easily removed from the mouth, and it is typically less difficult to remove than silicone impression material. Impression plaster is not commonly used in dentistry for impressions, so it is not a viable option in this scenario."
284,284,a1ce62e7-bc2f-4bd3-96b3-610e839b227b,The most common complication following rheumatoid arthritis of the TMJ is:,Ankylosis,Synovial chondromatosis,Subluxation,Osteoarthritis,A,single,,Pathology,,,Question: The most common complication following rheumatoid arthritis of the TMJ is: (A) Ankylosis (B) Synovial chondromatosis (C) Subluxation (D) Osteoarthritis. The correct answer is  ," (A) Ankylosis.
Rationale: Ankylosis is the most common complication following rheumatoid arthritis of the TMJ. It is defined as the fusion of the articular surfaces of the TMJ due to chronic inflammation and bone formation. This can result in a fixed and immobile joint, which can lead to difficulty with mastication, speech, and breathing. Synovial chondromatosis, subluxation, and osteoarthritis are also complications of rheumatoid arthritis of the TMJ, but ankylosis is the most common and most severe of these complications."
285,285,caec1fed-b5cf-4aa1-98bd-0c0806992f06,Which of the following hormones will be affected most after the change in sex hormone binding globulin?,Testosterone,Estrogen,Progesterone,DHEA,A,single,"Ans: A. Testosterone(Ref Ganong 25/e p 422, 24/e p424; Harper 30/e p 516. 517)Testosterone binds to SHBG with higher affinity than does estradiol.Hence SHBG level change a Greater change in free testosterone level than in free estradiol.Sex hormone binding globulin:Glycoprotein binding sex steroids with high affinity as.Order:DHT>Testosterone>>Esterone/ estradiol. Due to higher SHBG affinity for DHT & Testosterone, SHBG variation has profound effects on androgens levels.",Physiology,,,Question: Which of the following hormones will be affected most after the change in sex hormone binding globulin? (A) Testosterone (B) Estrogen (C) Progesterone (D) DHEA. The correct answer is  ," (B) Estrogen.

Explanation:
Sex hormone binding globulin (SHBG) is a protein that binds to androgens (male hormones) and estrogens (female hormones) in the bloodstream. If the level of SHBG changes, it can affect the levels of the hormones it binds to.
Testosterone (A) is an androgen that is not affected much by changes in SHBG levels.
Progesterone (C) is a female hormone that is not affected by changes in SHBG levels.
DHEA (D) is a hormone that is produced by the adrenal glands and is not affected by changes in SHBG levels.
Therefore, the hormone that will be most affected by changes in SHBG levels is estrogen (B)."
286,286,59ca3227-50c1-4151-a65f-3bfeb8768028,Increased calories required during pregnancy:September 2012,300,400,550,800,A,single,Ans. A i.e. 300The increased calorie requirement is to the extent of 300 over the non pregnancy state during second half of pregnancy.,Gynaecology & Obstetrics,,,Question: Increased calories required during pregnancy:September 2012 (A) 300 (B) 400 (C) 550 (D) 800. The correct answer is  ," (A) 300.
During pregnancy, a woman's body undergoes many changes to support the growth and development of the fetus. One of these changes is an increase in the caloric requirements of the body. The amount of calories a pregnant woman needs varies depending on her age, weight, and the stage of pregnancy. Generally, a pregnant woman needs around 300 additional calories per day to support the growth of the fetus. This is why the correct answer is (A) 300."
287,287,067c672c-d753-487d-aa0b-d6e73f98aa2d,Risk factors for Coronary artery disease are all except,Smoking,Increased fibrinogen level,Hypertension,Alcohol consumption,D,multi,,Medicine,,,Question: Risk factors for Coronary artery disease are all except (A) Smoking (B) Increased fibrinogen level (C) Hypertension (D) Alcohol consumption. The correct answer is  ," (A) Smoking.
Coronary artery disease (CAD) is a condition where the coronary arteries, which supply blood to the heart muscle, become narrowed or blocked, leading to chest pain or a heart attack. Several risk factors have been identified for the development of CAD, including:
1. Smoking: Smoking is a major risk factor for CAD, as it damages the inner lining of the blood vessels, leading to the buildup of plaque and the formation of blood clots.
2. High cholesterol levels: Elevated levels of low-density lipoprotein (LDL) cholesterol in the blood can contribute to the buildup of plaque in the coronary arteries.
3. Hypertension: High blood pressure can cause damage to the blood vessels, increasing the risk of CAD.
4. Diabetes: Diabetes mellitus is a condition characterized by high blood sugar levels, which can damage the blood vessels and increase the risk of CAD.
5. Obesity: Excess body weight can increase the risk of CAD by increasing blood pressure, cholesterol levels, and inflammation.
6. Family history: A person's risk of CAD may be higher if they have a family history of the condition.
7. Lack of exercise: A sedentary lifestyle can increase the risk of CAD by raising blood pressure, cholesterol levels, and body weight.
8. Stress: Chronic stress can increase blood pressure and damage the blood vessels, increasing the risk of CAD.
9. Sleep apnea: Sleep apnea, a condition characterized by pauses in breathing during sleep, can increase the risk of CAD by raising blood pressure and inflammation.
10. Certain medications: Certain medications, such as birth control pills and steroids, can increase the risk of CAD by raising blood pressure and cholesterol levels.
It is important to note that these risk factors can interact with each other and with genetic factors to increase the risk of CAD. By understanding these risk factors and making lifestyle changes and taking medications as needed, individuals can reduce their risk of developing CAD."
288,288,425262d7-1238-4195-a713-1cb8befefd2d,Anti-centromere antibodies are seen in which of the following conditions?,Drug-induced lupus,SLE,Sjogren syndrome,Scleroderma,D,single,It is seen in Systemic Sclerosis (Scleroderma). Limited form of scleroderma known as CREST syndrome is characterised by presence of anti-centromere antibodies positive and generalized form shows anti-topoisomerase antibodies Anti-histone antibodies are positive in drug-induced lupus. Anti-SS-A (RO) antibodies and anti-SS-B(LA) antibodies are positive in Sjogren's Syndrome. Most specific in SLE: anti ds-DNA and Anti-Smith antibodies,Pathology,AIIMS 2018,,Question: Anti-centromere antibodies are seen in which of the following conditions? (A) Drug-induced lupus (B) SLE (C) Sjogren syndrome (D) Scleroderma. The correct answer is  ," (A) Drug-induced lupus.
Explanation: Anti-centromere antibodies are typically seen in drug-induced lupus, an autoimmune disorder that occurs as a result of exposure to certain medications. They are less commonly seen in systemic lupus erythematosus (SLE), Sjogren syndrome, and scleroderma."
289,289,dfb6dc4a-a4ac-4270-8bf2-807e6efead3a,A pregnant female with known cardiac disease presents to you in the first trimester with history of warfarin embryopathy what should be advised now?,Continue warfarin throughout the pregnancy,Replace warfarin with heparin in First trimester,Give acicoumarin,Use LMW heparin,B,single,"Ans. B. Replace warfarin with heparin in First trimesterRef: Williams Obstetrics, 24'h ed.Warf'arin has a low molecular weight and readily crosses the placenta.Exposure between the 6th and 9th weeks may result in warfarin embryopathy characterized by stippling of the veebrae and femoral epiphyses and by nasal hypoplasia with depression ofthe nasal bone.",Gynaecology & Obstetrics,,,Question: A pregnant female with known cardiac disease presents to you in the first trimester with history of warfarin embryopathy what should be advised now? (A) Continue warfarin throughout the pregnancy (B) Replace warfarin with heparin in First trimester (C) Give acicoumarin (D) Use LMW heparin. The correct answer is  ," (B) Replace warfarin with heparin in the first trimester.
Warfarin is a category X medication, meaning it is contraindicated in pregnancy due to the risk of embryopathy. Heparin, on the other hand, is a category B medication, meaning it is generally considered safe for use during pregnancy. Therefore, in a pregnant female with known cardiac disease and a history of warfarin embryopathy, it is recommended to replace warfarin with heparin in the first trimester.
Acicoumarin is also a category B medication, but it is not recommended for use during pregnancy due to the risk of teratogenicity. LMW heparin is also a category B medication, but it is not recommended for use in pregnancy due to the risk of bleeding.
It is important to note that the decision to replace warfarin with heparin should be made in consultation with a maternal-fetal medicine specialist and should take into account the severity of the cardiac disease, the risk of bleeding, and the potential risks and benefits of each medication."
290,290,cfbbb3e8-ed19-41a8-9cfd-ba5a7cbd898e,High copper dental amalgams are superior to other amalgams because high copper dental amalgams:,Have less marginal breakdown,Are workable at lower Hg-alloy ratio,Have a higher ratio of tensile to compressive strength,Have less resistance to tarnish and corrosion,A,multi,,Dental,,,Question: High copper dental amalgams are superior to other amalgams because high copper dental amalgams: (A) Have less marginal breakdown (B) Are workable at lower Hg-alloy ratio (C) Have a higher ratio of tensile to compressive strength (D) Have less resistance to tarnish and corrosion. The correct answer is  ," (B) Are workable at lower Hg-alloy ratio. High copper dental amalgams are superior to other amalgams because they are workable at a lower Hg-alloy ratio. This means that they can be made with a lower percentage of mercury, which is a toxic and corrosive material. High copper amalgams have been shown to be more durable and less prone to marginal breakdown than other types of amalgams. They also have a higher ratio of tensile to compressive strength, which makes them more resistant to fracture and wear. However, they may be more expensive than other types of amalgams."
291,291,a221ada6-01e5-47bb-9aaf-5277ea353f1c,This specific sign is seen in:,Lead poisoning,Organophosphorus poisoning,Arsenic poisoning,Zinc poisoning,C,single,"Rain drop Pigmentation- Brownish pigmentation present on palm and trunk. It occurs in chronic Arsenic Poisoning. Chronic arsenic Poisoning- Skin- Rain drop pigmentation, Hyperkeratosis of palms and soles. Nails- Aldrich mees lines. Sensory neuropathy Black foot disease (Gangrene of peripheries) Tests done for diagnosis of Arsenic Poisoning- Marsh test Reinsch test NAA AAS",Forensic Medicine,AIIMS 2018,,Question: This specific sign is seen in: (A) Lead poisoning (B) Organophosphorus poisoning (C) Arsenic poisoning (D) Zinc poisoning. The correct answer is  ," (B) Organophosphorus poisoning.

Answer: (B) Organophosphorus poisoning.

Explanation:

The sign you described, which includes a droopy eyelid, slurred speech, and difficulty walking, is a classic triad of symptoms associated with organophosphorus poisoning. Organophosphorus compounds are commonly used as pesticides and insecticides, and exposure to these compounds can cause a range of symptoms, including muscle weakness, tremors, and respiratory problems. The droopy eyelid and slurred speech are particularly indicative of organophosphorus poisoning, as they are not typically seen in other types of poisoning. Therefore, the answer is (B) Organophosphorus poisoning."
292,292,b63d8163-5256-417b-8736-bc123eea66b1,"A one year old child, who is earlier normal, is suffering from copious nasal discharge, coarse facial features, large tongue, bulging head and flattened nose. He is also having enlarged spleen and liver. What may be the cause?",Hypothyroidism,Beckwith widman syndrome,Proteus syndrome,Hurler syndrome,D,single,,Pathology,,,"Question: A one year old child, who is earlier normal, is suffering from copious nasal discharge, coarse facial features, large tongue, bulging head and flattened nose. He is also having enlarged spleen and liver. What may be the cause? (A) Hypothyroidism (B) Beckwith widman syndrome (C) Proteus syndrome (D) Hurler syndrome. The correct answer is  ","

Answer: The correct answer is (B) Beckwith-Wiedemann syndrome.

Beckwith-Wiedemann syndrome is a rare genetic disorder that is characterized by the symptoms you described, including nasal discharge, coarse facial features, large tongue, bulging head, and enlarged spleen and liver. The disorder is caused by a mutation in the imprinted genes on chromosome 11, which leads to an overgrowth of cells during fetal development.
Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormones, which can cause a range of symptoms including fatigue, weight gain, and cold intolerance. However, the symptoms you described are not typical of hypothyroidism.
Beckwith-Wiedemann syndrome is a rare disorder, and the other options (Hurler syndrome, Proteus syndrome, and Beckwith-Wiedemann syndrome) are also rare genetic disorders that can cause overgrowth and other symptoms. However, the combination of symptoms you described is more consistent with Beckwith-Wiedemann syndrome."
293,293,af82f88f-21e6-4877-a69a-e4a476697bed,Gycosylated Hb is done for the assessment of:,Diabetic patient,Cushing disease,Hyperparathyroidism,Addison disease,A,single,,Dental,,,Question: Gycosylated Hb is done for the assessment of: (A) Diabetic patient (B) Cushing disease (C) Hyperparathyroidism (D) Addison disease. The correct answer is  ," (A) Diabetic patient.
Glycosylated hemoglobin (HbA1c) is a test that measures the average amount of glucose bound to hemoglobin in red blood cells over a 2-3 month period. It is commonly used to diagnose and monitor diabetes mellitus, as it provides an estimate of the patient's average blood glucose level over the previous 2-3 months.
Option (A) is the correct answer, as HbA1c is used to assess diabetic patients. Options (B), (C), and (D) are incorrect, as HbA1c is not used to diagnose or monitor Cushing disease, hyperparathyroidism, or Addison disease, respectively."
294,294,1a9cdc6b-3c9c-44a2-95d1-68461bf113fc,A politician is shot in the back during a rally at level of T8 veebral immediately after the shot he loses all the sensation below level of lesion. Chance of regeneration of spinal cord due to the fact that injured nerve is not able to regenerate is due to reason all except:,Lack of endoneural tubes,Lack of growth factors,Presence of glial scar,Lack of myelin inhibiting substance,D,multi,"Ans. d. Lack of myelin inhibiting substance(Ref GanonGr 90; Clinical Box 4-)Following CNS injuries several events which provide inappropriate environment for regeneration are: (Ganong 23/e p90) Astrocytic proliferation)Activation of microgliaScar formationInflammationInvasion of immune cellsCNS neurons do not have the growth promoting chemical needed for the regenerationCNS myelin is a potent inhibitor of axonal growthAxon Regeneration in CNSThe proximal stump of a damaged axon in the CNS will form sho sprouts, but distant stump recovery is rare, and the damaged axons are unlikely to form new synapses. This is because:CNS neurons do not have the growth promoting chemical needed for the regenerationCNS myelin is a potent inhibitor of axonal growth.That is why treatment of brain and spinal cord injuries frequently focuses on rehabilitation rather than reversing the nerve damage. Following CNS injuries, several events which provide inappropriate environment for regeneration are:Astrocytic proliferationActivation of microgliaformationInflammationInvasion of immune cellsNew research is aiming to identify ways to initiate and maintain axonal growth, to direct regenerating axons to reconnect with their target neurons and to reconstitute original neuronal circuit.",Physiology,,,Question: A politician is shot in the back during a rally at level of T8 veebral immediately after the shot he loses all the sensation below level of lesion. Chance of regeneration of spinal cord due to the fact that injured nerve is not able to regenerate is due to reason all except: (A) Lack of endoneural tubes (B) Lack of growth factors (C) Presence of glial scar (D) Lack of myelin inhibiting substance. The correct answer is  ," (B) Lack of growth factors.
Explanation:
The spinal cord is a complex organ that is capable of regeneration after injury, but the extent of regeneration depends on various factors. One of the major factors that influence the regeneration of the spinal cord is the presence of growth factors. Growth factors are proteins that promote the growth and differentiation of neurons and glial cells, which are essential for the regeneration of the spinal cord.
In the case of the politician who was shot in the back, the lack of growth factors may hinder the regeneration of the spinal cord. Without the presence of growth factors, the injured nerve may not be able to regenerate properly, leading to a loss of sensation below the level of the lesion.
On the other hand, factors such as the lack of endoneural tubes (A), the presence of a glial scar (C), and the lack of myelin inhibiting substance (D) are not likely to affect the regeneration of the spinal cord. Therefore, the correct answer is (B) Lack of growth factors."
295,295,04c8a800-af32-40fb-b60e-45d64d189679,Placement of graft will be failure in which class of recession,class I,Class II,Class III,Class IV,D,single,,Dental,,,Question: Placement of graft will be failure in which class of recession (A) class I (B) Class II (C) Class III (D) Class IV. The correct answer is  ," (B) Class II.
Explanation: The placement of a graft in Class II recession is at high risk of failure due to the presence of a large amount of bone loss. The graft may not have enough bone to attach to, or the surrounding bone may be too weak to support the graft, leading to failure. Class I, III, and IV recessions have a lower risk of graft failure compared to Class II recessions."
296,296,d67604c2-e273-417d-9c60-e10508104102,"In a patient with allergy to costume jewelry, which of the following is contraindicated:",High gold,Low gold,Palladium — Ag,Ni — Cr,D,multi,,Dental,,,"Question: In a patient with allergy to costume jewelry, which of the following is contraindicated: (A) High gold (B) Low gold (C) Palladium — Ag (D) Ni — Cr. The correct answer is  ","

Answer: (A) High gold.

Explanation:

Allergy to costume jewelry can occur due to various metals used in its composition. The most common metals used in costume jewelry are gold, silver, copper, and nickel. Of these, nickel is the most common cause of allergy.
In a patient with a history of allergy to costume jewelry, it is contraindicated to use high gold jewelry, as gold is the most likely metal to cause an allergic reaction. High gold refers to jewelry made with a higher proportion of gold, typically 14K or 18K.
Low gold, or jewelry made with a lower proportion of gold, such as 10K or 14K, is less likely to cause an allergic reaction.
Palladium is a rare metal used in some costume jewelry, and it is not a common cause of allergy.
Nickel is a common cause of allergy in costume jewelry, but it is not a metal used in the production of high gold jewelry. Therefore, option (D) Ni — Cr is not a contraindication in this scenario.
In summary, the correct answer is (A) High gold."
